Machine,Host,MeasurementType,Iterations,TimeNs
HUJI-pond-vm,box,Instruction,10,2425
HUJI-pond-vm,box,FunctionCall,10,12000
HUJI-pond-vm,box,SysCall,10,5500
HUJI-pond-vm,box,Instruction,1000,9
HUJI-pond-vm,box,FunctionCall,1000,26
HUJI-pond-vm,box,SysCall,1000,677
HUJI-pond-vm,box,Instruction,1000000,0.894
HUJI-pond-vm,box,FunctionCall,1000000,20.588
HUJI-pond-vm,box,SysCall,1000000,627.86
HUJI-pond-vm,box,Instruction,1000000,0.91525
HUJI-pond-vm,box,FunctionCall,1000000,21.069
HUJI-pond-vm,box,SysCall,1000000,634.484
HUJI-pond-vm,box,Instruction,1000000000,0.883646
HUJI-pond-vm,box,FunctionCall,1000000000,19.2066
